  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 355    8    0   20.00  20.00     2     10   10      3      8     7    87.50
 356    4    0   60.00  37.50     3      5    8      0      4     3    75.00
 357    7    0   57.14  66.67     4      7    6      0      7     7   100.00
 358    7    0   42.86  42.86     3      7    7      0      7     7   100.00
 359    6    0   42.86  37.50     3      7    8      2      6     6   100.00
 360    2    0   50.00  50.00     1      2    2      0      2     2   100.00
 361    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 362    2    0   50.00  50.00     1      2    2      0      2     1    50.00
 363    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 364    5    0   33.33  40.00     2      6    5      0      5     5   100.00
 365    7    0   33.33  25.00     2      6    8      0      7     6    85.71
 366    8    0   18.18  25.00     2     11    8      4      8     7    87.50
 367    5    0   40.00  80.00     4     10    5      0      5     5   100.00
 368    9    0   30.00  27.27     3     10   11      2      9     9   100.00
 369    9    0   15.38  18.18     2     13   11      3      9     9   100.00
 370    2    0  100.00 100.00     2      2    2      0      2     1    50.00
 371    2    0   25.00  50.00     1      4    2      0      2     1    50.00
 372    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 373    3    0   50.00  20.00     1      2    5      0      3     2    66.67
 374    9    0   57.14  36.36     4      7   11      2      9     9   100.00
 375    7    0   25.00  20.00     2      8   10      5      7     6    85.71
 376    9    0   28.57  22.22     2      7    9      5      9     8    88.89
 377    8    0   25.00  28.57     2      8    7      3      8     7    87.50
 378    8    0   42.86  50.00     3      7    6      1      8     8   100.00
 379    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 380    5    0   40.00  28.57     2      5    7      2      5     4    80.00
 381    4    0   20.00  33.33     1      5    3      0      4     4   100.00
 382    2    0   33.33  50.00     1      3    2      0      2     1    50.00
 383    8    0   37.50  27.27     3      8   11      1      8     8   100.00
 384    9    0   18.18  16.67     2     11   12      0      9     8    88.89
 385    5    0   60.00  37.50     3      5    8      0      5     4    80.00
 386    8    0   30.00  37.50     3     10    8      4      8     7    87.50
 387    7    0   33.33  33.33     2      6    6      2      7     6    85.71
 388    6    0   60.00  33.33     3      5    9      3      6     5    83.33
 389    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 390    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 391    1    0   50.00  33.33     1      2    3      0      1     1   100.00
 392    2    0   50.00  50.00     1      2    2      0      2     1    50.00
 393    9    0   36.36  26.67     4     11   15      1      9     9   100.00
 394    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 395    4    0   66.67  57.14     4      6    7      0      4     4   100.00
 396    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 397    5    0   33.33  40.00     2      6    5      0      5     4    80.00
 398    7    0   28.57  18.18     2      7   11      5      7     6    85.71
 399    8    0   42.86  23.08     3      7   13      5      8     7    87.50
